5,5,5,5,1,5,9,5,5,5,5,5,5,5,5,5,5,API Specialist
6,6,6,6,6,6,6,6,6,9,6,6,6,6,2,6,6,Technical Writer
6,5,6,6,6,9,6,6,6,6,6,6,6,6,6,6,6,Software Developer
9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,9,2,Helpdesk Engineer
3,3,3,3,3,3,3,3,3,9,3,3,3,3,3,3,3,Technical Writer
2,2,2,2,2,6,2,2,2,9,2,2,2,2,2,2,2,Technical Writer
6,6,6,6,1,6,6,6,6,6,6,9,6,6,6,6,6,Software tester
7,7,7,7,7,7,7,7,7,7,9,7,7,7,6,7,7,AI ML Specialist
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,Graphics Designer
1,1,1,9,1,3,1,1,1,1,1,1,1,1,1,1,1,Cyber Security Specialist
9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
2,2,2,2,9,2,2,1,2,2,2,2,2,2,2,2,2,Networking Engineer
1,1,1,1,1,9,1,1,1,1,1,1,1,1,6,1,1,Software Developer
9,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,Database Administrator
5,5,5,5,5,5,5,5,5,5,9,7,5,5,5,5,5,AI ML Specialist
9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Database Administrator
9,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Database Administrator
1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,Project Manager
1,1,1,1,1,1,7,1,1,9,1,1,1,1,1,1,1,Technical Writer
7,7,7,7,7,1,7,7,7,9,7,7,7,7,7,7,7,Technical Writer
6,6,6,6,6,6,9,6,6,6,6,6,6,6,2,6,6,API Specialist
5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Application Support Engineer
7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,9,7,Helpdesk Engineer
2,2,2,2,2,2,2,2,2,5,2,9,2,2,2,2,2,Software tester
6,6,6,6,6,5,6,6,6,9,6,6,6,6,6,6,6,Technical Writer
7,7,7,7,7,9,7,7,7,7,7,7,7,5,7,7,7,Software Developer
5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,Software Developer
6,6,6,6,6,6,9,6,6,6,6,6,6,6,6,6,6,API Specialist
7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,Data Scientist
2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,Project Manager
6,6,6,5,6,6,6,6,6,6,6,6,6,6,9,6,6,Data Scientist
1,1,1,1,1,1,2,1,1,9,1,1,1,1,1,1,1,Technical Writer
2,2,2,9,2,2,2,2,2,2,2,3,2,2,2,2,2,Cyber Security Specialist
2,2,2,2,2,2,2,2,2,3,2,2,9,2,2,2,2,Business Analyst
3,6,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Application Support Engineer
5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,9,5,Helpdesk Engineer
1,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,Software tester
9,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,Database Administrator
2,2,3,2,2,2,2,2,2,2,2,2,2,2,9,2,2,Data Scientist
